Siparis_No,Paket_ID,Musteri_Adi,Musteri_Soyadi,Sehir,Siparis_Tarihi,Durum,Brut_Tutar_TL,Indirim_TL,Net_Tutar_TL,Urun_Maliyeti_TL,Trendyol_Komisyonu_TL,Kargo_Maliyeti_TL,Tahmini_Kar_TL,Kesinlesen_Kar_TL
TY-TEST-ORD-002,PKG-1002,Zeynep,Kaya,Ankara,2026-09-19 19:40:05,Delivered,320.00,0.00,320.00,110.00,64.00,35.00,96.40,87.91
TY-TEST-ORD-001,PKG-1001,Ahmet,Yılmaz,İstanbul,2026-09-19 19:40:05,Delivered,700.00,50.00,650.00,240.00,138.00,32.50,205.50,215.00
TY-ORD-1789845816,,Ahmet,Yılmaz,İstanbul,2026-09-19 19:23:36,Created,599.90,0.00,599.90,180.00,119.98,38.50,201.43,-
TY-ORD-1789845806,,Ahmet,Yılmaz,İstanbul,2026-09-19 19:23:26,Created,599.90,0.00,599.90,180.00,119.98,38.50,201.43,-
TY-ORD-1789845787,,Ahmet,Yılmaz,İstanbul,2026-09-19 19:23:07,Created,599.90,0.00,599.90,180.00,119.98,38.50,201.43,-
TY-ORD-1789845769,,Ahmet,Yılmaz,İstanbul,2026-09-19 19:22:49,Created,599.90,0.00,599.90,180.00,119.98,38.50,201.43,-
TY-ORD-1789845756,,Ahmet,Yılmaz,İstanbul,2026-09-19 19:22:36,Created,599.90,0.00,599.90,180.00,119.98,38.50,201.43,-
TY-ORD-1789845414,,Ahmet,Yılmaz,İstanbul,2026-09-19 19:16:54,Created,599.90,0.00,599.90,180.00,119.98,38.50,201.43,-
TY-ORD-1789845227,,Ahmet,Yılmaz,İstanbul,2026-09-19 19:13:47,Created,599.90,0.00,599.90,180.00,119.98,38.50,201.43,-
TY-ORD-1789845217,,Ahmet,Yılmaz,İstanbul,2026-09-19 19:13:37,Created,599.90,0.00,599.90,180.00,119.98,38.50,201.43,-
TY-ORD-1789845196,,Ahmet,Yılmaz,İstanbul,2026-09-19 19:13:16,Created,599.90,0.00,599.90,180.00,119.98,38.50,201.43,-
TY-ORD-1789845184,,Ahmet,Yılmaz,İstanbul,2026-09-19 19:13:04,Created,599.90,0.00,599.90,180.00,119.98,38.50,201.43,-
TY-ORD-1789844795,,Ahmet,Yılmaz,İstanbul,2026-09-19 19:06:35,Created,599.90,0.00,599.90,180.00,119.98,38.50,201.43,-
TY-ORD-1789844601,,Ahmet,Yılmaz,İstanbul,2026-09-19 19:03:21,Created,599.90,0.00,599.90,180.00,119.98,38.50,201.43,-
TY-ORD-1789844582,,Ahmet,Yılmaz,İstanbul,2026-09-19 19:03:02,Created,599.90,0.00,599.90,180.00,119.98,38.50,201.43,-
TY-ORD-1789844364,,Ahmet,Yılmaz,İstanbul,2026-09-19 18:59:24,Created,599.90,0.00,599.90,180.00,119.98,38.50,201.43,-
TY-ORD-1789844160,,Ahmet,Yılmaz,İstanbul,2026-09-19 18:56:00,Created,599.90,0.00,599.90,180.00,119.98,38.50,201.43,-
TY-ORD-1789843829,,Ahmet,Yılmaz,İstanbul,2026-09-19 18:50:29,Created,599.90,0.00,599.90,180.00,119.98,38.50,201.43,-
TY-ORD-1789843604,,Ahmet,Yılmaz,İstanbul,2026-09-19 18:46:44,Created,599.90,0.00,599.90,180.00,119.98,38.50,201.43,-
TY-ORD-1789843594,,Ahmet,Yılmaz,İstanbul,2026-09-19 18:46:34,Created,599.90,0.00,599.90,180.00,119.98,38.50,201.43,-
TY-ORD-1789843411,,Ahmet,Yılmaz,İstanbul,2026-09-19 18:43:31,Created,599.90,0.00,599.90,180.00,119.98,38.50,201.43,-
TY-ORD-1789843213,,Ahmet,Yılmaz,İstanbul,2026-09-19 18:40:13,Created,599.90,0.00,599.90,180.00,119.98,38.50,201.43,-
TY-ORD-1789843197,,Ahmet,Yılmaz,İstanbul,2026-09-19 18:39:57,Created,599.90,0.00,599.90,180.00,119.98,38.50,201.43,-
TY-ORD-1789842999,,Ahmet,Yılmaz,İstanbul,2026-09-19 18:36:39,Created,599.90,0.00,599.90,180.00,119.98,38.50,201.43,-
TY-ORD-1789842988,,Ahmet,Yılmaz,İstanbul,2026-09-19 18:36:28,Created,599.90,0.00,599.90,180.00,119.98,38.50,201.43,-
TY-ORD-1789842788,,Ahmet,Yılmaz,İstanbul,2026-09-19 18:33:08,Created,599.90,0.00,599.90,180.00,119.98,38.50,201.43,-
TY-ORD-1789842780,,Ahmet,Yılmaz,İstanbul,2026-09-19 18:33:00,Created,599.90,0.00,599.90,180.00,119.98,38.50,201.43,-
TY-ORD-1789842549,,Ahmet,Yılmaz,İstanbul,2026-09-19 18:29:09,Created,599.90,0.00,599.90,180.00,119.98,38.50,201.43,-
TY-ORD-1789842334,,Ahmet,Yılmaz,İstanbul,2026-09-19 18:25:34,Created,599.90,0.00,599.90,180.00,119.98,38.50,201.43,-
TY-ORD-1789842329,,Ahmet,Yılmaz,İstanbul,2026-09-19 18:25:29,Created,599.90,0.00,599.90,180.00,119.98,38.50,201.43,-
TY-ORD-1789842216,,Zeynep,Kaya,Ankara,2026-09-19 18:23:36,Shipped,899.90,0.00,899.90,290.00,179.98,38.50,301.43,-
TY-ORD-1789842206,,Zeynep,Kaya,Ankara,2026-09-19 18:23:26,Shipped,899.90,0.00,899.90,290.00,179.98,38.50,301.43,-
TY-ORD-1789842187,,Zeynep,Kaya,Ankara,2026-09-19 18:23:07,Shipped,899.90,0.00,899.90,290.00,179.98,38.50,301.43,-
TY-ORD-1789842169,,Zeynep,Kaya,Ankara,2026-09-19 18:22:49,Shipped,899.90,0.00,899.90,290.00,179.98,38.50,301.43,-
TY-ORD-1789842156,,Zeynep,Kaya,Ankara,2026-09-19 18:22:36,Shipped,899.90,0.00,899.90,290.00,179.98,38.50,301.43,-
TY-ORD-1789841814,,Zeynep,Kaya,Ankara,2026-09-19 18:16:55,Shipped,899.90,0.00,899.90,290.00,179.98,38.50,301.43,-
TY-ORD-1789841627,,Zeynep,Kaya,Ankara,2026-09-19 18:13:47,Shipped,899.90,0.00,899.90,290.00,179.98,38.50,301.43,-
TY-ORD-1789841617,,Zeynep,Kaya,Ankara,2026-09-19 18:13:37,Shipped,899.90,0.00,899.90,290.00,179.98,38.50,301.43,-
TY-ORD-1789841596,,Zeynep,Kaya,Ankara,2026-09-19 18:13:16,Shipped,899.90,0.00,899.90,290.00,179.98,38.50,301.43,-
TY-ORD-1789841584,,Zeynep,Kaya,Ankara,2026-09-19 18:13:04,Shipped,899.90,0.00,899.90,290.00,179.98,38.50,301.43,-
TY-ORD-1789841195,,Zeynep,Kaya,Ankara,2026-09-19 18:06:35,Shipped,899.90,0.00,899.90,290.00,179.98,38.50,301.43,-
TY-ORD-1789841001,,Zeynep,Kaya,Ankara,2026-09-19 18:03:21,Shipped,899.90,0.00,899.90,290.00,179.98,38.50,301.43,-
TY-ORD-1789840982,,Zeynep,Kaya,Ankara,2026-09-19 18:03:02,Shipped,899.90,0.00,899.90,290.00,179.98,38.50,301.43,-
TY-ORD-1789840764,,Zeynep,Kaya,Ankara,2026-09-19 17:59:24,Shipped,899.90,0.00,899.90,290.00,179.98,38.50,301.43,-
TY-ORD-1789840560,,Zeynep,Kaya,Ankara,2026-09-19 17:56:00,Shipped,899.90,0.00,899.90,290.00,179.98,38.50,301.43,-
TY-ORD-1789840229,,Zeynep,Kaya,Ankara,2026-09-19 17:50:29,Shipped,899.90,0.00,899.90,290.00,179.98,38.50,301.43,-
TY-ORD-1789840004,,Zeynep,Kaya,Ankara,2026-09-19 17:46:44,Shipped,899.90,0.00,899.90,290.00,179.98,38.50,301.43,-
TY-ORD-1789839994,,Zeynep,Kaya,Ankara,2026-09-19 17:46:34,Shipped,899.90,0.00,899.90,290.00,179.98,38.50,301.43,-
